Name	Type	Nullable	References	Description
name	text	true		"run-time configuration parameter name"
setting	text	true		"current value of the parameter"
unit	text	true		"implicit unit of the parameter"
category	text	true		"logical group of the parameter"
short_desc	text	true		"a brief description of the parameter"
extra_desc	text	true		"additional, more detailed, description of the parameter"
context	text	true		"context required to set the parameter's value (see below)"
vartype	text	true		"parameter type (bool, enum, integer, real, or string)"
source	text	true		"source of the current parameter value"
min_val	text	true		"minimum allowed value of the parameter (null for non-numeric values)"
max_val	text	true		"maximum allowed value of the parameter (null for non-numeric values)"
enumvals	text[]	true		"allowed values of an enum parameter (null for non-enum values)"
boot_val	text	true		"parameter value assumed at server startup if the parameter is not otherwise set"
reset_val	text	true		"value that reset would reset the parameter to in the current session"
sourcefile	text	true		"configuration file the current value was set in (null for values set from sources other than configuration files, or when examined by a non-superuser); helpful when using include directives in configuration files"
sourceline	int4	true		"line number within the configuration file the current value was set at (null for values set from sources other than configuration files, or when examined by a non-superuser)"
