Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
oid	oid	false		"row identifier (hidden attribute; must be explicitly selected)"
ctid	tid	false		
relname	name	false		"name of the table, index, view, etc."
relnamespace	oid	false	pg_namespace.oid	"the oid of the namespace that contains this relation"
reltype	oid	false	pg_type.oid	"the oid of the data type that corresponds to this table's row type, if any (zero for indexes, which have no pg_type entry)"
reloftype	oid	false	pg_type.oid	"for typed tables, the oid of the underlying composite type, zero for all other relations"
relowner	oid	false	pg_authid.oid	"owner of the relation"
relam	oid	false	pg_am.oid	"if this is an index, the access method used (b-tree, hash, etc.)"
relfilenode	oid	false		"name of the on-disk file of this relation; zero means this is a ""mapped"" relation whose disk file name is determined by low-level state"
reltablespace	oid	false	pg_tablespace.oid	"the tablespace in which this relation is stored. if zero, the database's default tablespace is implied. (not meaningful if the relation has no on-disk file.)"
relpages	int4	false		"size of the on-disk representation of this table in pages (of size blcksz). this is only an estimate used by the planner. it is updated by vacuum, analyze, and a few ddl commands such as create index."
reltuples	float4	false		"number of rows in the table. this is only an estimate used by the planner. it is updated by vacuum, analyze, and a few ddl commands such as create index."
relallvisible	int4	false		"number of pages that are marked all-visible in the table's visibility map. this is only an estimate used by the planner. it is updated by vacuum, analyze, and a few ddl commands such as create index."
reltoastrelid	oid	false	pg_class.oid	"oid of the toast table associated with this table, 0 if none. the toast table stores large attributes ""out of line"" in a secondary table."
relhasindex	bool	false		"true if this is a table and it has (or recently had) any indexes"
relisshared	bool	false		"true if this table is shared across all databases in the cluster. only certain system catalogs (such as pg_database) are shared."
relpersistence	char	false		"p = permanent table, u = unlogged table, t = temporary table"
relkind	char	false		"r = ordinary table, i = index, s = sequence, v = view, m = materialized view, c = composite type, t = toast table, f = foreign table"
relnatts	int2	false		"number of user columns in the relation (system columns not counted). there must be this many corresponding entries in pg_attribute. see also pg_attribute.attnum."
relchecks	int2	false		"number of check constraints on the table; see pg_constraint catalog"
relhasoids	bool	false		"true if we generate an oid for each row of the relation"
relhaspkey	bool	false		"true if the table has (or once had) a primary key"
relhasrules	bool	false		"true if table has (or once had) rules; see pg_rewrite catalog"
relhastriggers	bool	false		"true if table has (or once had) triggers; see pg_trigger catalog"
relhassubclass	bool	false		"true if table has (or once had) any inheritance children"
relrowsecurity	bool	false		"true if table has row level security enabled; see pg_policy catalog"
relforcerowsecurity	bool	false		"true if row level security (when enabled) will also apply to table owner; see pg_policy catalog"
relispopulated	bool	false		"true if relation is populated (this is true for all relations other than some materialized views)"
relreplident	char	false		"columns used to form ""replica identity"" for rows: d = default (primary key, if any), n = nothing, f = all columns, i = index with indisreplident set (same as nothing if the index used has been dropped)"
relfrozenxid	xid	false		"all transaction ids before this one have been replaced with a permanent (""frozen"") transaction id in this table. this is used to track whether the table needs to be vacuumed in order to prevent transaction id wraparound or to allow pg_clog to be shrunk. zero (invalidtransactionid) if the relation is not a table."
relminmxid	xid	false		"all multixact ids before this one have been replaced by a transaction id in this table. this is used to track whether the table needs to be vacuumed in order to prevent multixact id wraparound or to allow pg_multixact to be shrunk. zero (invalidmultixactid) if the relation is not a table."
relacl	aclitem[]	true		"access privileges; see grant and revoke for details"
reloptions	text[]	true		"access-method-specific options, as ""keyword=value"" strings"
