Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
oid	oid	false		
ctid	tid	false		
polname	name	false		"the name of the policy"
polrelid	oid	false	pg_class.oid	"the table to which the policy applies"
polcmd	char	false		"the command type to which the policy is applied: r for select, a for insert, w for update, d for delete, or * for all"
polroles	oid[]	true	pg_authid.oid	"the roles to which the policy is applied"
polqual	pg_node_tree	true		"the expression tree to be added to the security barrier qualifications for queries that use the table"
polwithcheck	pg_node_tree	true		"the expression tree to be added to the with check qualifications for queries that attempt to add rows to the table"
