Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
oid	oid	false		"row identifier (hidden attribute; must be explicitly selected)"
ctid	tid	false		
dictname	name	false		"text search dictionary name"
dictnamespace	oid	false	pg_namespace.oid	"the oid of the namespace that contains this dictionary"
dictowner	oid	false	pg_authid.oid	"owner of the dictionary"
dicttemplate	oid	false	pg_ts_template.oid	"the oid of the text search template for this dictionary"
dictinitoption	text	true		"initialization option string for the template"
