Name	Type	Nullable	References	Description
slot_name	name	true		"a unique, cluster-wide identifier for the replication slot"
plugin	name	true		"the base name of the shared object containing the output plugin this logical slot is using, or null for physical slots."
slot_type	text	true		"the slot type - physical or logical"
datoid	oid	true	pg_database.oid	"the oid of the database this slot is associated with, or null. only logical slots have an associated database."
database	text	true	pg_database.datname	"the name of the database this slot is associated with, or null. only logical slots have an associated database."
active	bool	true		"true if this slot is currently actively being used"
active_pid	int4	true		"the process id of the session using this slot if the slot is currently actively being used. null if inactive."
xmin	xid	true		"the oldest transaction that this slot needs the database to retain. vacuum cannot remove tuples deleted by any later transaction."
catalog_xmin	xid	true		"the oldest transaction affecting the system catalogs that this slot needs the database to retain. vacuum cannot remove catalog tuples deleted by any later transaction."
restart_lsn	pg_lsn	true		"the address (lsn) of oldest wal which still might be required by the consumer of this slot and thus won't be automatically removed during checkpoints."
