Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
oid	oid	false		"row identifier (hidden attribute; must be explicitly selected)"
ctid	tid	false		
adrelid	oid	false	pg_class.oid	"the table this column belongs to"
adnum	int2	false	pg_attribute.attnum	"the number of the column"
adbin	pg_node_tree	true		"the internal representation of the column default value"
adsrc	text	true		"a human-readable representation of the default value"
