Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
tmplname	name	false		"name of the language this template is for"
tmpltrusted	bool	false		"true if language is considered trusted"
tmpldbacreate	bool	false		"true if language may be created by a database owner"
tmplhandler	text	false		"name of call handler function"
tmplinline	text	true		"name of anonymous-block handler function, or null if none"
tmplvalidator	text	true		"name of validator function, or null if none"
tmpllibrary	text	false		"path of shared library that implements language"
tmplacl	aclitem[]	true		"access privileges for template (not actually used)"
