Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
starelid	oid	false	pg_class.oid	"the table or index that the described column belongs to"
staattnum	int2	false	pg_attribute.attnum	"the number of the described column"
stainherit	bool	false		"if true, the stats include inheritance child columns, not just the values in the specified relation"
stanullfrac	float4	false		"the fraction of the column's entries that are null"
stawidth	int4	false		"the average stored width, in bytes, of nonnull entries"
stadistinct	float4	false		"the number of distinct nonnull data values in the column. a value greater than zero is the actual number of distinct values. a value less than zero is the negative of a multiplier for the number of rows in the table; for example, a column in which about 80% of the values are nonnull and each nonnull value appears about twice on average could be represented by stadistinct = -0.4. a zero value means the number of distinct values is unknown."
stakind1	int2	false		
stakind2	int2	false		
stakind3	int2	false		
stakind4	int2	false		
stakind5	int2	false		
staop1	oid	false		
staop2	oid	false		
staop3	oid	false		
staop4	oid	false		
staop5	oid	false		
stanumbers1	float4[]	true		
stanumbers2	float4[]	true		
stanumbers3	float4[]	true		
stanumbers4	float4[]	true		
stanumbers5	float4[]	true		
stavalues1	anyarray	true		
stavalues2	anyarray	true		
stavalues3	anyarray	true		
stavalues4	anyarray	true		
stavalues5	anyarray	true		
stakindn	int2			"a code number indicating the kind of statistics stored in the nth ""slot"" of the pg_statistic row."
stanumbersn	float4[]			"numerical statistics of the appropriate kind for the nth ""slot"", or null if the slot kind does not involve numerical values"
staopn	oid		pg_operator.oid	"an operator used to derive the statistics stored in the nth ""slot"". for example, a histogram slot would show the < operator that defines the sort order of the data."
stavaluesn	anyarray			"column data values of the appropriate kind for the nth ""slot"", or null if the slot kind does not store any data values. each array's element values are actually of the specific column's data type, or a related type such as an array's element type, so there is no way to define these columns' type more specifically than anyarray."
