name	text	true		"run-time configuration parameter nam"
setting	text	true		"current value of the paramete"
unit	text	true		"implicit unit of the paramete"
category	text	true		"logical group of the paramete"
short_desc	text	true		"a brief description of the paramete"
extra_desc	text	true		"additional, more detailed, description of the paramete"
context	text	true		"context required to set the parameter's value (see below"
vartype	text	true		"parameter type (bool, enum, integer, real, or string"
source	text	true		"source of the current parameter valu"
min_val	text	true		"minimum allowed value of the parameter (null for non-numeric values"
max_val	text	true		"maximum allowed value of the parameter (null for non-numeric values"
enumvals	text[]	true		"allowed values of an enum parameter (null for non-enum values"
boot_val	text	true		"parameter value assumed at server startup if the parameter is not otherwise se"
reset_val	text	true		"value that reset would reset the parameter to in the current sessio"
sourcefile	text	true		"configuration file the current value was set in (null for values set from sources other than configuration files, or when examined by a non-superuser); helpful when using include directives in configuration file"
sourceline	int4	true		"line number within the configuration file the current value was set at (null for values set from sources other than configuration files, or when examined by a non-superuser"
pending_restart	bool	true		"true if the value has been changed in the configuration file but needs a restart; or false otherwise"
