Name	Type	Nullable
tableoid	oid	false
cmax	cid	false
xmax	xid	false
cmin	cid	false
xmin	xid	false
ctid	tid	false
indexrelid	oid	false
indrelid	oid	false
indnatts	int2	false
indnkeyatts	int2	false
indisunique	bool	false
indisprimary	bool	false
indisexclusion	bool	false
indimmediate	bool	false
indisclustered	bool	false
indisvalid	bool	false
indcheckxmin	bool	false
indisready	bool	false
indislive	bool	false
indisreplident	bool	false
indkey	int2vector	false
indcollation	oidvector	false
indclass	oidvector	false
indoption	int2vector	false
indexprs	pg_node_tree	true
indpred	pg_node_tree	true
