Name	Type	Nullable
datid	oid	true
datname	name	true
numbackends	int4	true
xact_commit	int8	true
xact_rollback	int8	true
blks_read	int8	true
blks_hit	int8	true
tup_returned	int8	true
tup_fetched	int8	true
tup_inserted	int8	true
tup_updated	int8	true
tup_deleted	int8	true
conflicts	int8	true
temp_files	int8	true
temp_bytes	int8	true
deadlocks	int8	true
checksum_failures	int8	true
checksum_last_failure	timestamptz	true
blk_read_time	"double precision"	true
blk_write_time	"double precision"	true
session_time	"double precision"	true
active_time	"double precision"	true
idle_in_transaction_time	"double precision"	true
sessions	int8	true
sessions_abandoned	int8	true
sessions_fatal	int8	true
sessions_killed	int8	true
stats_reset	timestamptz	true
