Name	Type	Nullable
tableoid	oid	false
cmax	cid	false
xmax	xid	false
cmin	cid	false
xmin	xid	false
ctid	tid	false
aggfnoid	regproc	false
aggkind	"""char"""	false
aggnumdirectargs	int2	false
aggtransfn	regproc	false
aggfinalfn	regproc	false
aggcombinefn	regproc	false
aggserialfn	regproc	false
aggdeserialfn	regproc	false
aggmtransfn	regproc	false
aggminvtransfn	regproc	false
aggmfinalfn	regproc	false
aggfinalextra	bool	false
aggmfinalextra	bool	false
aggsortop	oid	false
aggtranstype	oid	false
aggtransspace	int4	false
aggmtranstype	oid	false
aggmtransspace	int4	false
agginitval	text	true
aggminitval	text	true
