Name	Args	"Return Type"
RI_FKey_cascade_del		trigger
RI_FKey_cascade_upd		trigger
RI_FKey_check_ins		trigger
RI_FKey_check_upd		trigger
RI_FKey_noaction_del		trigger
RI_FKey_noaction_upd		trigger
RI_FKey_restrict_del		trigger
RI_FKey_restrict_upd		trigger
RI_FKey_setdefault_del		trigger
RI_FKey_setdefault_upd		trigger
RI_FKey_setnull_del		trigger
RI_FKey_setnull_upd		trigger
abbrev	cidr	text
abbrev	inet	text
abs	bigint	bigint
abs	"double precision"	"double precision"
abs	integer	integer
abs	numeric	numeric
abs	real	real
abs	smallint	smallint
abstime	"timestamp with time zone"	abstime
abstime	"timestamp without time zone"	abstime
abstimeeq	"abstime, abstime"	boolean
abstimege	"abstime, abstime"	boolean
abstimegt	"abstime, abstime"	boolean
abstimein	cstring	abstime
abstimele	"abstime, abstime"	boolean
abstimelt	"abstime, abstime"	boolean
abstimene	"abstime, abstime"	boolean
abstimeout	abstime	cstring
abstimerecv	internal	abstime
abstimesend	abstime	bytea
aclcontains	"aclitem[], aclitem"	boolean
acldefault	"""char"", oid"	aclitem[]
aclexplode	"acl aclitem[], OUT grantor oid, OUT grantee oid, OUT privilege_type text, OUT is_grantable boolean"	"SETOF record"
aclinsert	"aclitem[], aclitem"	aclitem[]
aclitemeq	"aclitem, aclitem"	boolean
aclitemin	cstring	aclitem
aclitemout	aclitem	cstring
aclremove	"aclitem[], aclitem"	aclitem[]
acos	"double precision"	"double precision"
acosd	"double precision"	"double precision"
age	"timestamp with time zone"	interval
age	"timestamp with time zone, timestamp with time zone"	interval
age	"timestamp without time zone"	interval
age	"timestamp without time zone, timestamp without time zone"	interval
age	xid	integer
amvalidate	oid	boolean
any_in	cstring	"""any"""
any_out	"""any"""	cstring
anyarray_in	cstring	anyarray
anyarray_out	anyarray	cstring
anyarray_recv	internal	anyarray
anyarray_send	anyarray	bytea
anyelement_in	cstring	anyelement
anyelement_out	anyelement	cstring
anyenum_in	cstring	anyenum
anyenum_out	anyenum	cstring
anynonarray_in	cstring	anynonarray
anynonarray_out	anynonarray	cstring
anyrange_in	"cstring, oid, integer"	anyrange
anyrange_out	anyrange	cstring
anytextcat	"anynonarray, text"	text
area	box	"double precision"
area	circle	"double precision"
area	path	"double precision"
areajoinsel	"internal, oid, internal, smallint, internal"	"double precision"
areasel	"internal, oid, internal, integer"	"double precision"
array_agg	anyarray	anyarray
array_agg	anynonarray	anyarray
array_agg_array_finalfn	"internal, anyarray"	anyarray
array_agg_array_transfn	"internal, anyarray"	internal
array_agg_finalfn	"internal, anynonarray"	anyarray
array_agg_transfn	"internal, anynonarray"	internal
array_append	"anyarray, anyelement"	anyarray
array_cat	"anyarray, anyarray"	anyarray
array_dims	anyarray	text
array_eq	"anyarray, anyarray"	boolean
array_fill	"anyelement, integer[]"	anyarray
array_fill	"anyelement, integer[], integer[]"	anyarray
array_ge	"anyarray, anyarray"	boolean
array_gt	"anyarray, anyarray"	boolean
array_in	"cstring, oid, integer"	anyarray
array_larger	"anyarray, anyarray"	anyarray
array_le	"anyarray, anyarray"	boolean
array_length	"anyarray, integer"	integer
array_lower	"anyarray, integer"	integer
array_lt	"anyarray, anyarray"	boolean
array_ndims	anyarray	integer
array_ne	"anyarray, anyarray"	boolean
array_out	anyarray	cstring
array_position	"anyarray, anyelement"	integer
array_position	"anyarray, anyelement, integer"	integer
array_positions	"anyarray, anyelement"	integer[]
array_prepend	"anyelement, anyarray"	anyarray
array_recv	"internal, oid, integer"	anyarray
array_remove	"anyarray, anyelement"	anyarray
array_replace	"anyarray, anyelement, anyelement"	anyarray
array_send	anyarray	bytea
array_smaller	"anyarray, anyarray"	anyarray
array_to_json	anyarray	json
array_to_json	"anyarray, boolean"	json
array_to_string	"anyarray, text"	text
array_to_string	"anyarray, text, text"	text
array_to_tsvector	text[]	tsvector
array_typanalyze	internal	boolean
array_upper	"anyarray, integer"	integer
arraycontained	"anyarray, anyarray"	boolean
arraycontains	"anyarray, anyarray"	boolean
arraycontjoinsel	"internal, oid, internal, smallint, internal"	"double precision"
arraycontsel	"internal, oid, internal, integer"	"double precision"
arrayoverlap	"anyarray, anyarray"	boolean
ascii	text	integer
ascii_to_mic	"integer, integer, cstring, internal, integer"	void
ascii_to_utf8	"integer, integer, cstring, internal, integer"	void
asin	"double precision"	"double precision"
asind	"double precision"	"double precision"
