Name	Type	Nullable
tableoid	oid	false
cmax	cid	false
xmax	xid	false
cmin	cid	false
xmin	xid	false
ctid	tid	false
oid	oid	false
conname	name	false
connamespace	oid	false
contype	char	false
condeferrable	bool	false
condeferred	bool	false
convalidated	bool	false
conrelid	oid	false
contypid	oid	false
conindid	oid	false
conparentid	oid	false
confrelid	oid	false
confupdtype	char	false
confdeltype	char	false
confmatchtype	char	false
conislocal	bool	false
coninhcount	int4	false
connoinherit	bool	false
conkey	int2[]	true
confkey	int2[]	true
conpfeqop	oid[]	true
conppeqop	oid[]	true
conffeqop	oid[]	true
conexclop	oid[]	true
conbin	pg_node_tree	true
