Name	Type	Nullable
tableoid	oid	false
cmax	cid	false
xmax	xid	false
cmin	cid	false
xmin	xid	false
ctid	tid	false
oid	oid	false
typname	name	false
typnamespace	oid	false
typowner	oid	false
typlen	int2	false
typbyval	bool	false
typtype	char	false
typcategory	char	false
typispreferred	bool	false
typisdefined	bool	false
typdelim	char	false
typrelid	oid	false
typelem	oid	false
typarray	oid	false
typinput	regproc	false
typoutput	regproc	false
typreceive	regproc	false
typsend	regproc	false
typmodin	regproc	false
typmodout	regproc	false
typanalyze	regproc	false
typalign	char	false
typstorage	char	false
typnotnull	bool	false
typbasetype	oid	false
typtypmod	int4	false
typndims	int4	false
typcollation	oid	false
typdefaultbin	pg_node_tree	true
typdefault	text	true
typacl	aclitem[]	true
