Name	Type	Nullable
tableoid	oid	false
cmax	cid	false
xmax	xid	false
cmin	cid	false
xmin	xid	false
ctid	tid	false
oid	oid	false
proname	name	false
pronamespace	oid	false
proowner	oid	false
prolang	oid	false
procost	float4	false
prorows	float4	false
provariadic	oid	false
prosupport	regproc	false
prokind	char	false
prosecdef	bool	false
proleakproof	bool	false
proisstrict	bool	false
proretset	bool	false
provolatile	char	false
proparallel	char	false
pronargs	int2	false
pronargdefaults	int2	false
prorettype	oid	false
proargtypes	oidvector	false
proallargtypes	oid[]	true
proargmodes	char[]	true
proargnames	text[]	true
proargdefaults	pg_node_tree	true
protrftypes	oid[]	true
prosrc	text	false
probin	text	true
proconfig	text[]	true
proacl	aclitem[]	true
