Name	Type	Nullable
tableoid	oid	false
cmax	cid	false
xmax	xid	false
cmin	cid	false
xmin	xid	false
ctid	tid	false
starelid	oid	false
staattnum	int2	false
stainherit	bool	false
stanullfrac	float4	false
stawidth	int4	false
stadistinct	float4	false
stakind1	int2	false
stakind2	int2	false
stakind3	int2	false
stakind4	int2	false
stakind5	int2	false
staop1	oid	false
staop2	oid	false
staop3	oid	false
staop4	oid	false
staop5	oid	false
stacoll1	oid	false
stacoll2	oid	false
stacoll3	oid	false
stacoll4	oid	false
stacoll5	oid	false
stanumbers1	float4[]	true
stanumbers2	float4[]	true
stanumbers3	float4[]	true
stanumbers4	float4[]	true
stanumbers5	float4[]	true
stavalues1	anyarray	true
stavalues2	anyarray	true
stavalues3	anyarray	true
stavalues4	anyarray	true
stavalues5	anyarray	true
