Name	Type	Nullable
tableoid	oid	false
cmax	cid	false
xmax	xid	false
cmin	cid	false
xmin	xid	false
ctid	tid	false
oid	oid	false
tgrelid	oid	false
tgparentid	oid	false
tgname	name	false
tgfoid	oid	false
tgtype	int2	false
tgenabled	char	false
tgisinternal	bool	false
tgconstrrelid	oid	false
tgconstrindid	oid	false
tgconstraint	oid	false
tgdeferrable	bool	false
tginitdeferred	bool	false
tgnargs	int2	false
tgattr	int2vector	false
tgargs	bytea	false
tgqual	pg_node_tree	true
tgoldtable	name	true
tgnewtable	name	true
