Name	Type	Nullable
tableoid	oid	false
cmax	cid	false
xmax	xid	false
cmin	cid	false
xmin	xid	false
ctid	tid	false
attrelid	oid	false
attname	name	false
atttypid	oid	false
attlen	int2	false
attnum	int2	false
attcacheoff	int4	false
atttypmod	int4	false
attndims	int2	false
attbyval	bool	false
attalign	char	false
attstorage	char	false
attcompression	char	false
attnotnull	bool	false
atthasdef	bool	false
atthasmissing	bool	false
attidentity	char	false
attgenerated	char	false
attisdropped	bool	false
attislocal	bool	false
attinhcount	int2	false
attstattarget	int2	false
attcollation	oid	false
attacl	aclitem[]	true
attoptions	text[]	true
attfdwoptions	text[]	true
attmissingval	anyarray	true
