Name	Type	Nullable
tableoid	oid	false
cmax	cid	false
xmax	xid	false
cmin	cid	false
xmin	xid	false
ctid	tid	false
oid	oid	false
subdbid	oid	false
subskiplsn	pg_lsn	false
subname	name	false
subowner	oid	false
subenabled	bool	false
subbinary	bool	false
substream	char	false
subtwophasestate	char	false
subdisableonerr	bool	false
subpasswordrequired	bool	false
subrunasowner	bool	false
subconninfo	text	false
subslotname	name	true
subsynccommit	text	false
subpublications	text[]	false
suborigin	text	true
