Name	Type	Nullable
tableoid	oid	false
cmax	cid	false
xmax	xid	false
cmin	cid	false
xmin	xid	false
ctid	tid	false
attrelid	oid	false
attname	name	false
atttypid	oid	false
attstattarget	int4	false
attlen	int2	false
attnum	int2	false
attndims	int4	false
attcacheoff	int4	false
atttypmod	int4	false
attbyval	bool	false
attstorage	char	false
attalign	char	false
attnotnull	bool	false
atthasdef	bool	false
attisdropped	bool	false
attislocal	bool	false
attinhcount	int4	false
attcollation	oid	false
attacl	aclitem[]	true
attoptions	text[]	true
attfdwoptions	text[]	true
