Name	Type	Nullable
tableoid	oid	false
cmax	cid	false
xmax	xid	false
cmin	cid	false
xmin	xid	false
oid	oid	false
ctid	tid	false
relname	name	false
relnamespace	oid	false
reltype	oid	false
reloftype	oid	false
relowner	oid	false
relam	oid	false
relfilenode	oid	false
reltablespace	oid	false
relpages	int4	false
reltuples	float4	false
relallvisible	int4	false
reltoastrelid	oid	false
relhasindex	bool	false
relisshared	bool	false
relpersistence	char	false
relkind	char	false
relnatts	int2	false
relchecks	int2	false
relhasoids	bool	false
relhaspkey	bool	false
relhasrules	bool	false
relhastriggers	bool	false
relhassubclass	bool	false
relrowsecurity	bool	false
relforcerowsecurity	bool	false
relispopulated	bool	false
relreplident	char	false
relfrozenxid	xid	false
relminmxid	xid	false
relacl	aclitem[]	true
reloptions	text[]	true
