Name	Type	References	Description
oid	oid		"row identifier (hidden attribute; must be explicitly selected)"
rolname	name		"role name"
rolsuper	bool		"role has superuser privileges"
rolinherit	bool		"role automatically inherits privileges of roles it is a member of"
rolcreaterole	bool		"role can create more roles"
rolcreatedb	bool		"role can create databases"
rolcanlogin	bool		"role can log in. that is, this role can be given as the initial session authorization identifier."
rolreplication	bool		"role is a replication role. a replication role can initiate replication connections and create and drop replication slots."
rolbypassrls	bool		"role bypasses every row level security policy"
rolconnlimit	int4		"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit."
rolpassword	text		"password (possibly encrypted); null if none. the format depends on the form of encryption used."
rolvaliduntil	timestamptz		"password expiry time (only used for password authentication); null if no expiration"
