Name	Type	References	Description
schemaname	name	pg_namespace.nspname	"name of schema containing sequence"
sequencename	name	pg_class.relname	"name of sequence"
sequenceowner	name	pg_authid.rolname	"name of sequence's owner"
data_type	regtype	pg_type.oid	"data type of the sequence"
start_value	bigint		"start value of the sequence"
min_value	bigint		"minimum value of the sequence"
max_value	bigint		"maximum value of the sequence"
increment_by	bigint		"increment value of the sequence"
cycle	boolean		"whether the sequence cycles"
cache_size	bigint		"cache size of the sequence"
last_value	bigint		"the last sequence value written to disk. if caching is used, this value can be greater than the last value handed out from the sequence. null if the sequence has not been read from yet. also, if the current user does not have usage or select privilege on the sequence, the value is null."
