Name	Type	References	Description
oid	oid		"row identifier"
tgrelid	oid		"the table this trigger is on"
tgparentid	oid		"parent trigger that this trigger is cloned from, zero if not a clone; this happens when partitions are created or attached to a partitioned table."
tgname	name		"trigger name (must be unique among triggers of same table)"
tgfoid	oid		"the function to be called"
tgtype	int2		"bit mask identifying trigger firing conditions"
tgenabled	char		"controls in which session_replication_role modes the trigger fires. o = trigger fires in ""origin"" and ""local"" modes, d = trigger is disabled, r = trigger fires in ""replica"" mode, a = trigger fires always."
tgisinternal	bool		"true if trigger is internally generated (usually, to enforce the constraint identified by tgconstraint)"
tgconstrrelid	oid		"the table referenced by a referential integrity constraint"
tgconstrindid	oid		"the index supporting a unique, primary key, referential integrity, or exclusion constraint"
tgconstraint	oid		"the pg_constraint entry associated with the trigger, if any"
tgdeferrable	bool		"true if constraint trigger is deferrable"
tginitdeferred	bool		"true if constraint trigger is initially deferred"
tgnargs	int2		"number of argument strings passed to trigger function"
tgattr	int2vector		"column numbers, if trigger is column-specific; otherwise an empty array"
tgargs	bytea		"argument strings to pass to trigger, each null-terminated"
tgqual	pg_node_tree		"expression tree (in nodetostring() representation) for the trigger's when condition, or null if none"
tgoldtable	name		"referencing clause name for old table, or null if none"
tgnewtable	name		"referencing clause name for new table, or null if none"
