Name	Type	References	Description
oid	oid		"row identifier"
subdbid	oid		"oid of the database that the subscription resides in"
subname	name		"name of the subscription"
subowner	oid		"owner of the subscription"
subenabled	bool		"if true, the subscription is enabled and should be replicating"
subbinary	bool		"if true, the subscription will request that the publisher send data in binary format"
substream	bool		"if true, the subscription will allow streaming of in-progress transactions"
subconninfo	text		"connection string to the upstream database"
subslotname	name		"name of the replication slot in the upstream database (also used for the local replication origin name); null represents none"
subsynccommit	text		"the synchronous_commit setting for the subscription's workers to use"
subpublications	text[]		"array of subscribed publication names. these reference publications defined in the upstream database. for more on publications"
