Name	Type	References	Description
oid	oid		"row identifier"
oprname	name		"name of the operator"
oprnamespace	oid		"the oid of the namespace that contains this operator"
oprowner	oid		"owner of the operator"
oprkind	char		"b = infix operator (""both""), or l = prefix operator (""left"")"
oprcanmerge	bool		"this operator supports merge joins"
oprcanhash	bool		"this operator supports hash joins"
oprleft	oid		"type of the left operand (zero for a prefix operator)"
oprright	oid		"type of the right operand"
oprresult	oid		"type of the result (zero for a not-yet-defined ""shell"" operator)"
oprcom	oid		"commutator of this operator (zero if none)"
oprnegate	oid		"negator of this operator (zero if none)"
oprcode	regproc		"function that implements this operator (zero for a not-yet-defined ""shell"" operator)"
oprrest	regproc		"restriction selectivity estimation function for this operator (zero if none)"
oprjoin	regproc		"join selectivity estimation function for this operator (zero if none)"
