Name	Type	References	Description
rule_number	int4		"number of this rule, if valid, otherwise null. this indicates the order in which each rule is considered until a match is found during authentication."
file_name	text		"name of the file containing this rule"
line_number	int4		"line number of this rule in file_name"
type	text		"type of connection"
database	text[]		"list of database name(s) to which this rule applies"
user_name	text[]		"list of user and group name(s) to which this rule applies"
address	text		"host name or ip address, or one of all, samehost, or samenet, or null for local connections"
netmask	text		"ip address mask, or null if not applicable"
auth_method	text		"authentication method"
options	text[]		"options specified for authentication method, if any"
error	text		"if not null, an error message indicating why this line could not be processed"
