Name	Type	References	Description
datname	name		"database name"
datdba	int4	pg_shadow.usesysid	"owner of the database, usually the user who created it"
encoding	int4		"character encoding for this database"
datistemplate	bool		"if true then this database can be used in the template clause of create database to create a new database as a clone of this one."
datallowconn	bool		"if false then no one can connect to this database. this is used to protect the template0 database from being altered."
datlastsysoid	oid		"last system oid in the database; useful particularly to pg_dump"
datvacuumxid	xid		"all rows inserted or deleted by transaction ids before this one have been marked as known committed or known aborted in this database. this is used to determine when commit-log space can be recycled."
datfrozenxid	xid		"all rows inserted by transaction ids before this one have been relabeled with a permanent (""frozen"") transaction id in this database. this is useful to check whether a database must be vacuumed soon to avoid transaction id wrap-around problems."
dattablespace	oid	pg_tablespace.oid	"the default tablespace for the database. within this database, all tables for which pg_class.reltablespace is zero will be stored in this tablespace; in particular, all the non-shared system catalogs will be there."
datconfig	text[]		"session defaults for run-time configuration variables"
datacl	aclitem[]		"access privileges; see grant and revoke for details."
