Name	Type	References	Description
rolname	name		"role name"
rolsuper	bool		"role has superuser privileges"
rolinherit	bool		"role automatically inherits privileges of roles it is a member of"
rolcreaterole	bool		"role may create more roles"
rolcreatedb	bool		"role may create databases"
rolcatupdate	bool		"role may update system catalogs directly. (even a superuser may not do this unless this column is true.)"
rolcanlogin	bool		"role may log in, that is, this role can be given as the initial session authorization identifier."
rolconnlimit	int4		"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit."
rolpassword	text		"password (possibly encrypted); null if none"
rolvaliduntil	timestamptz		"password expiry time (only used for password authentication); null if no expiration"
rolconfig	text[]		"session defaults for run-time configuration variables"
