Name	Type	References	Description
vacrelid	oid	pg_class.oid	"the table this entry is for"
enabled	bool		"if false, this table will not be autovacuumed, except to prevent transaction id wraparound"
vac_base_thresh	integer		"minimum number of modified tuples before vacuum"
vac_scale_factor	float4		"multiplier for reltuples to add to vac_base_thresh"
anl_base_thresh	integer		"minimum number of modified tuples before analyze"
anl_scale_factor	float4		"multiplier for reltuples to add to anl_base_thresh"
vac_cost_delay	integer		"custom vacuum_cost_delay parameter"
vac_cost_limit	integer		"custom vacuum_cost_limit parameter"
freeze_min_age	integer		"custom vacuum_freeze_min_age parameter"
freeze_max_age	integer		"custom autovacuum_freeze_max_age parameter"
