Name	Type	References	Description
conname	name		"constraint name (not necessarily unique!)"
connamespace	oid	pg_namespace.oid	"the oid of the namespace that contains this constraint"
contype	char		"c = check constraint, f = foreign key constraint, p = primary key constraint, u = unique constraint"
condeferrable	bool		"is the constraint deferrable?"
condeferred	bool		"is the constraint deferred by default?"
conrelid	oid	pg_class.oid	"the table this constraint is on; 0 if not a table constraint"
contypid	oid	pg_type.oid	"the domain this constraint is on; 0 if not a domain constraint"
confrelid	oid	pg_class.oid	"if a foreign key, the referenced table; else 0"
confupdtype	char		"foreign key update action code"
confdeltype	char		"foreign key deletion action code"
confmatchtype	char		"foreign key match type"
conkey	int2[]	pg_attribute.attnum	"if a table constraint, list of columns which the constraint constrains"
confkey	int2[]	pg_attribute.attnum	"if a foreign key, list of the referenced columns"
conpfeqop	oid[]	pg_operator.oid	"if a foreign key, list of the equality operators for pk = fk comparisons"
conppeqop	oid[]	pg_operator.oid	"if a foreign key, list of the equality operators for pk = pk comparisons"
conffeqop	oid[]	pg_operator.oid	"if a foreign key, list of the equality operators for fk = fk comparisons"
conbin	text		"if a check constraint, an internal representation of the expression"
consrc	text		"if a check constraint, a human-readable representation of the expression"
