Name	Type	References	Description
amname	name		"name of the access method"
amstrategies	int2		"number of operator strategies for this access method, or zero if access method does not have a fixed set of operator strategies"
amsupport	int2		"number of support routines for this access method"
amcanorder	bool		"does the access method support ordered scans?"
amcanbackward	bool		"does the access method support backward scanning?"
amcanunique	bool		"does the access method support unique indexes?"
amcanmulticol	bool		"does the access method support multicolumn indexes?"
amoptionalkey	bool		"does the access method support a scan without any constraint for the first index column?"
amindexnulls	bool		"does the access method support null index entries?"
amsearchnulls	bool		"does the access method support is null searches?"
amstorage	bool		"can index storage data type differ from column data type?"
amclusterable	bool		"can an index of this type be clustered on?"
amkeytype	oid	pg_type.oid	"type of data stored in index, or zero if not a fixed type"
aminsert	regproc	pg_proc.oid	"""insert this tuple"" function"
ambeginscan	regproc	pg_proc.oid	"""start new scan"" function"
amgettuple	regproc	pg_proc.oid	"""next valid tuple"" function, or zero if none"
amgetbitmap	regproc	pg_proc.oid	"""fetch all valid tuples"" function, or zero if none"
amrescan	regproc	pg_proc.oid	"""restart this scan"" function"
amendscan	regproc	pg_proc.oid	"""end this scan"" function"
ammarkpos	regproc	pg_proc.oid	"""mark current scan position"" function"
amrestrpos	regproc	pg_proc.oid	"""restore marked scan position"" function"
ambuild	regproc	pg_proc.oid	"""build new index"" function"
ambulkdelete	regproc	pg_proc.oid	"bulk-delete function"
amvacuumcleanup	regproc	pg_proc.oid	"post-vacuum cleanup function"
amcostestimate	regproc	pg_proc.oid	"function to estimate cost of an index scan"
amoptions	regproc	pg_proc.oid	"function to parse and validate reloptions for an index"
