Name	Type	References	Description
rolname	name		"role name"
rolsuper	bool		"role has superuser privileges"
rolinherit	bool		"role automatically inherits privileges of roles it is a member of"
rolcreaterole	bool		"role can create more roles"
rolcreatedb	bool		"role can create databases"
rolcatupdate	bool		"role can update system catalogs directly. (even a superuser cannot do this unless this column is true.)"
rolcanlogin	bool		"role can log in. that is, this role can be given as the initial session authorization identifier"
rolconnlimit	int4		"for roles that can log in, this sets maximum number of concurrent connections this role can make. -1 means no limit"
rolpassword	text		"not the password (always reads as ********)"
rolvaliduntil	timestamptz		"password expiry time (only used for password authentication); null if no expiration"
rolconfig	text[]		"session defaults for run-time configuration variables"
oid	oid	pg_authid.oid	"id of role"
