Name	Type	References	Description
name	text		"run-time configuration parameter name"
setting	text		"current value of the parameter"
unit	text		"implicit unit of the parameter"
category	text		"logical group of the parameter"
short_desc	text		"a brief description of the parameter"
extra_desc	text		"additional, more detailed, description of the parameter"
context	text		"context required to set the parameter's value"
vartype	text		"parameter type (bool, enum, integer, real, or string)"
source	text		"source of the current parameter value"
min_val	text		"minimum allowed value of the parameter (null for non-numeric values)"
max_val	text		"maximum allowed value of the parameter (null for non-numeric values)"
enumvals	text[]		"allowed values of an enum parameter (null for non-enum values)"
boot_val	text		"parameter value assumed at server startup if the parameter is not otherwise set"
reset_val	text		"value that reset would reset the parameter to in the current session"
sourcefile	text		"configuration file the current value was set in (null for values set from sources other than configuration files, or when examined by a non-superuser). helpful when using configuration include directives"
sourceline	integer		"line number within the configuration file the current value was set at (null for values set from sources other than configuration files, or when examined by a non-superuser)"
