Name	Type	References	Description
aggfnoid	regproc	pg_proc.oid	"pg_proc oid of the aggregate function"
aggkind	char		"aggregate kind: n for ""normal"" aggregates, o for ""ordered-set"" aggregates, or h for ""hypothetical-set"" aggregates"
aggnumdirectargs	int2		"number of direct (non-aggregated) arguments of an ordered-set or hypothetical-set aggregate, counting a variadic array as one argument. if equal to pronargs, the aggregate must be variadic and the variadic array describes the aggregated arguments as well as the final direct arguments. always zero for normal aggregates."
aggtransfn	regproc	pg_proc.oid	"transition function"
aggfinalfn	regproc	pg_proc.oid	"final function (zero if none)"
aggcombinefn	regproc	pg_proc.oid	"combine function (zero if none)"
aggserialfn	regproc	pg_proc.oid	"serialization function (zero if none)"
aggdeserialfn	regproc	pg_proc.oid	"deserialization function (zero if none)"
aggmtransfn	regproc	pg_proc.oid	"forward transition function for moving-aggregate mode (zero if none)"
aggminvtransfn	regproc	pg_proc.oid	"inverse transition function for moving-aggregate mode (zero if none)"
aggmfinalfn	regproc	pg_proc.oid	"final function for moving-aggregate mode (zero if none)"
aggfinalextra	bool		"true to pass extra dummy arguments to aggfinalfn"
aggmfinalextra	bool		"true to pass extra dummy arguments to aggmfinalfn"
aggsortop	oid	pg_operator.oid	"associated sort operator (zero if none)"
aggtranstype	oid	pg_type.oid	"data type of the aggregate function's internal transition (state) data"
aggtransspace	int4		"approximate average size (in bytes) of the transition state data, or zero to use a default estimate"
aggmtranstype	oid	pg_type.oid	"data type of the aggregate function's internal transition (state) data for moving-aggregate mode (zero if none)"
aggmtransspace	int4		"approximate average size (in bytes) of the transition state data for moving-aggregate mode, or zero to use a default estimate"
agginitval	text		"the initial value of the transition state. this is a text field containing the initial value in its external string representation. if this field is null, the transition state value starts out null."
aggminitval	text		"the initial value of the transition state for moving-aggregate mode. this is a text field containing the initial value in its external string representation. if this field is null, the transition state value starts out null."
