relation	type	version
aggregate	catalog	7.1,7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
am	catalog	7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
amop	catalog	7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
amproc	catalog	7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
attrdef	catalog	7.1,7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
attribute	catalog	7.1,7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
auth_members	catalog	8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
authid	catalog	8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
autovacuum	catalog	8.1,8.2,8.3
available_extension-versions	view	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
available_extensions	view	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
backend_memory-contexts	view	14
cast	catalog	7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
class	catalog	7.1,7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
collation	catalog	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
config	view	9.6,10,11,12,13,14
constraint	catalog	7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
conversion	catalog	7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
cursors	view	8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
database	catalog	7.1,7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
db_role-setting	catalog	9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
default_acl	catalog	9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
depend	catalog	7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
description	catalog	7.1,7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
enum	catalog	8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
event_trigger	catalog	9.3,9.4,9.5,9.6,10,11,12,13,14
extension	catalog	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
file_settings	view	9.5,9.6,10,11,12,13,14
foreign_data-wrapper	catalog	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
foreign_server	catalog	8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
foreign_table	catalog	9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
group	catalog	7.1,7.2,7.3,7.4,8.0
group	view	8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
hba_file-rules	view	10,11,12,13,14
index	catalog	7.1,7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
indexes	view	7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
inherits	catalog	7.1,7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
init_privs	catalog	9.6,10,11,12,13,14
language	catalog	7.1,7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
largeobject	catalog	7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4,9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
largeobject_metadata	catalog	9.0,9.1,9.2,9.3,9.4,9.5,9.6,10,11,12,13,14
listener	catalog	7.2,7.3,7.4,8.0,8.1,8.2,8.3,8.4
